Drehzahl;Kurbelwinkel;P_ZYL1;P_ZYL2;P_ZYL3;Drehmoment;Absolutverbrauch;Angesaugte Luftmasse;O2 roh;CO roh;CO2 roh;NOx roh;HC3 roh;Lambda;Temp Kühlm.E;Temp Kühlm.A;Temp Oel;Temp Ansaugl. nach Verd.;Temp Ansaugluft Saugrohr;Temp Abgas vor Turbine;P Saugrohr;P Abg. vor Turb.;ZZP
1600;-251;1.146;1.092;1.039;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-250;1.149;1.096;1.043;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-249;1.148;1.092;1.044;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-248;1.151;1.098;1.049;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-247;1.15;1.094;1.05;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-246;1.145;1.106;1.059;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-245;1.152;1.105;1.052;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-244;1.151;1.106;1.055;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-243;1.149;1.107;1.055;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-242;1.148;1.107;1.057;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-241;1.148;1.105;1.06;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-240;1.148;1.108;1.056;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-239;1.145;1.111;1.057;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-238;1.146;1.107;1.056;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-237;1.143;1.11;1.059;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-236;1.146;1.112;1.059;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-235;1.142;1.111;1.059;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-234;1.14;1.108;1.057;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-233;1.141;1.111;1.063;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-232;1.138;1.111;1.062;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-231;1.139;1.111;1.059;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-230;1.137;1.115;1.063;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-229;1.141;1.115;1.056;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-228;1.135;1.119;1.058;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-227;1.134;1.122;1.055;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-226;1.135;1.121;1.056;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-225;1.133;1.126;1.058;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-224;1.131;1.128;1.057;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-223;1.129;1.126;1.056;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-222;1.128;1.129;1.057;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-221;1.126;1.131;1.053;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-220;1.126;1.133;1.053;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-219;1.123;1.133;1.058;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-218;1.123;1.137;1.059;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-217;1.126;1.136;1.059;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-216;1.122;1.131;1.06;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
